name,date,distance,ascent,time,kjoules,kjhat,e2
Panhandle and Montour loop,44534,33.43,1706,183,1079,1149.986567,5039.092675
40 mile Pittsburgh perimeter,44513,40.37,2080,233,1379,1394.708899,246.7695148
Ohiopyle Confluence,44507,20.78,1837,149,976,949.2081964,717.8007389
Afternoon Ride,44491,23.47,1575,136,938,921.2343619,281.0866223
Morning Ride,44486,26.13,692,122.3833333,682,705.2605649,541.0538781
Adamsburg,44457,32.41,1096,152.25,897,946.4992232,2450.173101
Circumnavigate Pittsburgh airport,44450,25.35,1280,128.05,890,867.9126057,487.8529884
Hilly Circuit around Pittsburgh,44541,23.72,2841,182,1319,1308.08746,119.0835199
big pittsburgh loop,44604,31.7,1942,188,1158,1188.350566,921.1568444
50 mile flat ride,44612,50.68,1057,248,1348,1281.810236,4381.084795
Circumnavigate nemacolin,44565,32.2,4409,240,1950,1942.438482,57.17655977
Loop around the main Ohiopyle Hills,44416,32.82,1808,175.4833333,1194,1169.183781,615.8447386